id,name,alt_names,network,owners,country,categories,is_nsfw,launched,closed,replaced_by,website
1Plus1Marafon.ua,1+1 Marafon,1+1 Марафон,,1+1 Media Group,UA,general,FALSE,2022-12-01,,,https://1plus1.ua/
1Plus1Ukraina.ua,1+1 Ukraina,1+1 Україна,,1+1 Media Group,UA,general,FALSE,2022-12-24,,,https://1plus1.ua/
1Plus2.lv,1+2,,,,LV,,FALSE,,,,
1Severnyy.kz,1 Severnyy,Первый Северный;Pervyy Severnyy,,,KZ,general,FALSE,,,,https://1severniy.kz/
1Sports.in,1 Sports,,,Lex Sportel Vision Pvt. Ltd.,IN,sports,FALSE,2020-01-28,2023-11-21,,https://1sport.in/
1TV.af,1TV,يک تلويزيونتلویزیون یک,,Fahim Hashimy,AF,general,FALSE,2010-02-01,,,http://www.1tvmedia.com/
1TV.ge,1TV,პირველი არხი;First Channel,,Georgian Public Broadcaster,GE,general,FALSE,1956-01-01,,,https://1tv.ge/
1TV.md,1TV,,,,MD,general,FALSE,,,,https://1tv.md/
1TVPersian.ir,1TV Persian,,,,IR,entertainment,FALSE,,,,https://1tvpersian.com/
1TwenteTV.nl,1Twente TV,,,,NL,general,FALSE,,,,https://www.1twente.nl/kijk
1YesNews.in,1Yes News,,,,IN,news,FALSE,,,,
20.it,20,20Mediaset,,MFE - MediaForEurope,IT,entertainment,FALSE,2018-04-03,,,https://www.mediasetplay.mediaset.it/20mediaset
20MinutesTV.fr,20 Minutes TV,20' TV,,,FR,general,FALSE,2023-05-30,,,https://20minutes.tv
218News.ly,218 News,,,,LY,news,FALSE,,,,https://www.218tv.net/218news-%d9%85%d8%a8%d8%a7%d8%b4%d8%b1/
218TV.ly,218TV,,,,LY,news,FALSE,2015-08-06,,,https://www.218tv.net/
21Junior.xk,21 Junior,,,Company 21,XK,kids,FALSE,2009-09-16,,,https://rtv21.tv/
21Mix.xk,21 Mix,,,Company 21,XK,general,FALSE,,,,https://rtv21.tv/
21Plus.xk,21 Plus,,,Company 21,XK,general,FALSE,,,,https://rtv21.tv/
21Popullore.xk,21 Popullore,,,Company 21,XK,music,FALSE,,,,https://rtv21.tv/
21Sextury.us,21 Sextury,,,Gamma Billing Inc,US,xxx,TRUE,,,,https://www.21sextury.com/
22ArabTV.sa,22 Arab TV,,,,SA,,FALSE,,,,
24.sk,:24,,RTVS,Government of Slovakia,SK,news,FALSE,,,,http://www.rtvs.sk/televizia/tv
247.ec,24/7,,,,EC,news,FALSE,,,,https://veinticuatro-siete.com/
247BoxTV.ir,247 Box TV,,,,IR,entertainment,FALSE,,,,https://247box.live/
247CanaldeNoticias.ar,24/7 Canal de Noticias,,,,AR,news,FALSE,,,,https://cn247.tv/
247News.pk,24/7 News,,,,PK,news,FALSE,,,,https://247news.com.pk/
247Retro.us,247 Retro,,,,US,classic,FALSE,,,,http://www.247retro.com/
247TV.bo,24/7 TV,,,Grupo 24/7 Comunicaciones S.R.L.,BO,news,FALSE,,,,
24Horas.cl,24 Horas,24 Horas Play;24 Play,TVN,Television Nacional de Chile,CL,news,FALSE,,,,https://www.24horas.cl/
24Horas.es,24 Horas,Canal 24 Horas;24h,TVE,RTVE SA,ES,news;public,FALSE,1997-09-15,,,http://www.rtve.es/alacarta/tve/24-horas/
24HorasCanarias.es,24 Horas Canarias,Canal 24 Horas Canarias,TVE,RTVE SA,ES,news;public,FALSE,1997-09-15,,,https://www.rtve.es/play/videos/directo/tve-canarias/24-h-can/
